xing,pinyin,pinyin_tone,pinyin_tone_number
邬,wu,wū,wu1
和,he,hé,he2
师,shi,shī,shi1
仇,qiu,qiú,qiu2
栾,luan,luán,luan2
丘,qiu,qiū,qiu1
刁,diao,diāo,diao1
沙,sha,shā,sha1
商,shang,shāng,shang1
寇,kou,kòu,kou4
荣,rong,róng,rong2
巫,wu,wū,wu1
郎,lang,láng,lang2
桑,sang,sāng,sang1
丛,cong,cóng,cong2
甄,zhen,zhēn,zhen1
敖,ao,áo,ao2
虞,yu,yú,yu2
仲,zhong,zhòng,zhong4
池,chi,chí,chi2
巩,gong,gǒng,gong3
明,ming,míng,ming2
佘,she,shé,she2
查,zha,zhā,zha1
麻,ma,má,ma2
苑,yuan,yuàn,yuan4
迟,chi,chí,chi2
邝,kuang,kuàng,kuang4
封,feng,fēng,feng1
官,guan,guān,guan1
谈,tan,tán,tan2
鞠,ju,jú,ju2
匡,kuang,kuāng,kuang1
惠,hui,huì,hui4
荆,jing,jīng,jing1
乐,yue,yuè,yue4
冀,ji,jì,ji4
胥,xu,xū,xu1
郁,yu,yù,yu4
南,nan,nán,nan2
班,ban,bān,ban1
储,chu,chǔ,chu3
芦,lu,lú,lu2
原,yuan,yuán,yuan2
栗,li,lì,li4
燕,yan,yàn,yan4
楚,chu,chǔ,chu3
鄢,yan,yān,yan1
扬,yang,yáng,yang2
劳,lao,láo,lao2
谌,chen,chén,chen2
奚,xi,xī,xi1
皮,pi,pí,pi2
蔺,lin,lìn,lin4
粟,su,sù,su4
冼,xian,xiǎn,xian3
盘,pan,pán,pan2
满,man,mǎn,man3
闻,wen,wén,wen2
厉,li,lì,li4
伊,yi,yī,yi1
候,hou,hòu,hou4
仝,tong,tóng,tong2
区,ou,ōu,ou1
郜,gao,gào,gao4
海,hai,hǎi,hai3
阚,kan,kàn,kan4
花,hua,huā,hua1
权,quan,quán,quan2
强,qiang,qiáng,qiang2
帅,shuai,shuài,shuai4
屠,tu,tú,tu2
朴,piao,piáo,piao2
盖,ge,gě,ge3
练,lian,liàn,lian4
廉,lian,lián,lian2
禹,yu,yǔ,yu3
井,jing,jǐng,jing3
巴,ba,bā,ba1
漆,qi,qī,qi1
祖,zu,zǔ,zu3
丰,feng,fēng,feng1
支,zhi,zhī,zhi1
卿,qing,qīng,qing1
国,guo,guó,guo2
狄,di,dí,di2
平,ping,píng,ping2
计,ji,jì,ji4
索,suo,suǒ,suo3
宣,xuan,xuān,xuan1
晋,jin,jìn,jin4
相,xiang,xiāng,xiang1
占,zhan,zhān,zhan1
初,chu,chū,chu1
门,men,mén,men2
云,yun,yún,yun2
容,rong,róng,rong2
敬,jing,jìng,jing4
来,lai,lái,lai2
扈,hu,hù,hu4
晁,chao,cháo,chao2
都,du,dū,du1
芮,rui,ruì,rui4
普,pu,pǔ,pu3
阙,que,què,que4
戈,ge,gē,ge1
浦,pu,pǔ,pu3
伏,fu,fú,fu2
薄,bo,bó,bo2
鹿,lu,lù,lu4
邸,di,dǐ,di3
雍,yong,yōng,yong1
辜,gu,gū,gu1
羊,yang,yáng,yang2
母,mu,mǔ,mu3
亓,qi,qí,qi2
裘,qiu,qiú,qiu2
修,xiu,xiū,xiu1
邰,tai,tái,tai2
杭,hang,háng,hang2
赫,he,hè,he4
况,kuang,kuàng,kuang4
那,na,nā,na1
宿,su,sù,su4
鲜,xian,xiān,xian1
逯,lu,lù,lu4
印,yin,yìn,yin4
隆,long,lóng,long2
习,xi,xí,xi2
茹,ru,rú,ru2
诸,zhu,zhū,zhu1
战,zhan,zhàn,zhan4
慕,mu,mù,mu4
危,wei,wēi,wei1
玉,yu,yù,yu4
银,yin,yín,yin2
亢,kang,kàng,kang4
公,gong,gōng,gong1
嵇,ji,jī,ji1
豆,dou,dòu,dou4
哈,ha,hā,ha1
湛,zhan,zhàn,zhan4
宾,bin,bīn,bin1
勾,gou,gōu,gou1
茅,mao,máo,mao2
戎,rong,róng,rong2
利,li,lì,li4
於,yu,yú,yu2
呼,hu,hū,hu1
居,ju,jū,ju1
干,gan,gàn,gan4
揭,jie,jiē,jie1
但,dan,dàn,dan4
尉,yu,yù,yu4
斯,si,sī,si1
元,yuan,yuán,yuan2
束,shu,shù,shu4
檀,tan,tán,tan2
衣,yi,yī,yi1
信,xin,xìn,xin4
阴,yin,yīn,yin1
展,zhan,zhǎn,zhan3
昝,zan,zǎn,zan3
智,zhi,zhì,zhi4
幸,xing,xìng,xing4
奉,feng,fèng,feng4
植,zhi,zhí,zhi2
富,fu,fù,fu4
衡,heng,héng,heng2
昌,chang,chāng,chang1
巢,chao,cháo,chao2
郦,li,lì,li4
逄,pang,páng,pang2
寿,shou,shòu,shou4
由,you,yóu,you2
竺,zhu,zhú,zhu2
贝,bei,bèi,bei4
步,bu,bù,bu4
东,dong,dōng,dong1
鄂,e,è,e4
弓,gong,gōng,gong1
过,guo,guò,guo4
钮,niu,niǔ,niu3
濮,pu,pú,pu2
水,shui,shuǐ,shui3
蔚,wei,wèi,wei4
郗,chi,chī,chi1
荀,xun,xún,xun2
